year,datebegin,City,Country,Station area,Station type,AQI
2562,27/3/2562,Sofia,Bulgaria,Urban,Background,10.9
2562,28/3/2562,Sofia,Bulgaria,Urban,Background,13.7
2562,29/3/2562,Sofia,Bulgaria,Urban,Background,15.5
2562,30/3/2562,Sofia,Bulgaria,Urban,Background,20.3
2562,31/3/2562,Sofia,Bulgaria,Urban,Background,18.3
2562,1/4/2562,Sofia,Bulgaria,Urban,Background,19.4
2562,2/4/2562,Sofia,Bulgaria,Urban,Background,15.1
2562,3/4/2562,Sofia,Bulgaria,Urban,Background,12.5
2562,4/4/2562,Sofia,Bulgaria,Urban,Background,12.7
2562,5/4/2562,Sofia,Bulgaria,Urban,Background,16.1
2562,6/4/2562,Sofia,Bulgaria,Urban,Background,19.5
2562,7/4/2562,Sofia,Bulgaria,Urban,Background,15.3
2562,8/4/2562,Sofia,Bulgaria,Urban,Background,20.4
2562,5/6/2562,Sofia,Bulgaria,Urban,Background,12.1
2562,6/6/2562,Sofia,Bulgaria,Urban,Background,12.9
2562,7/6/2562,Sofia,Bulgaria,Urban,Background,12.7
2562,8/6/2562,Sofia,Bulgaria,Urban,Background,13.9
2562,9/6/2562,Sofia,Bulgaria,Urban,Background,13.9
2562,10/6/2562,Sofia,Bulgaria,Urban,Background,12.1
2562,11/6/2562,Sofia,Bulgaria,Urban,Background,10.7
2562,12/6/2562,Sofia,Bulgaria,Urban,Background,10.9
2562,13/6/2562,Sofia,Bulgaria,Urban,Background,13.9
2562,14/6/2562,Sofia,Bulgaria,Urban,Background,15.4
2562,15/6/2562,Sofia,Bulgaria,Urban,Background,16
2562,16/6/2562,Sofia,Bulgaria,Urban,Background,12.6
2562,17/6/2562,Sofia,Bulgaria,Urban,Background,14.4
2562,18/6/2562,Sofia,Bulgaria,Urban,Background,13.2
2562,19/6/2562,Sofia,Bulgaria,Urban,Background,12
2562,20/6/2562,Sofia,Bulgaria,Urban,Background,13.7
2562,21/6/2562,Sofia,Bulgaria,Urban,Background,15.5
2562,22/6/2562,Sofia,Bulgaria,Urban,Background,14.1
2562,23/6/2562,Sofia,Bulgaria,Urban,Background,14.8
2562,24/6/2562,Sofia,Bulgaria,Urban,Background,15.2
2562,25/6/2562,Sofia,Bulgaria,Urban,Background,11
2562,26/6/2562,Sofia,Bulgaria,Urban,Background,12.7
2562,27/6/2562,Sofia,Bulgaria,Urban,Background,14.7
2562,28/6/2562,Sofia,Bulgaria,Urban,Background,16.3
2562,29/6/2562,Sofia,Bulgaria,Urban,Background,6.1
2562,30/6/2562,Sofia,Bulgaria,Urban,Background,7.6
2562,1/7/2562,Sofia,Bulgaria,Urban,Background,10.7
2562,2/7/2562,Sofia,Bulgaria,Urban,Background,13.1
2562,3/7/2562,Sofia,Bulgaria,Urban,Background,12.8
2562,4/7/2562,Sofia,Bulgaria,Urban,Background,11.9
2562,5/7/2562,Sofia,Bulgaria,Urban,Background,14
2562,6/7/2562,Sofia,Bulgaria,Urban,Background,13.7
2562,7/7/2562,Sofia,Bulgaria,Urban,Background,14.9
2562,8/7/2562,Sofia,Bulgaria,Urban,Background,9.1
2562,9/7/2562,Sofia,Bulgaria,Urban,Background,12.6
2562,10/7/2562,Sofia,Bulgaria,Urban,Background,9.6
2562,11/7/2562,Sofia,Bulgaria,Urban,Background,7.1
2562,12/7/2562,Sofia,Bulgaria,Urban,Background,9.2
2562,13/7/2562,Sofia,Bulgaria,Urban,Background,12.4
2562,14/7/2562,Sofia,Bulgaria,Urban,Background,11.8
2562,30/7/2562,Sofia,Bulgaria,Urban,Background,8.9
2562,31/7/2562,Sofia,Bulgaria,Urban,Background,13.6
2562,1/8/2562,Sofia,Bulgaria,Urban,Background,14.6
2562,2/8/2562,Sofia,Bulgaria,Urban,Background,12.9
2562,3/8/2562,Sofia,Bulgaria,Urban,Background,12.1
2562,4/8/2562,Sofia,Bulgaria,Urban,Background,6.5
2562,5/8/2562,Sofia,Bulgaria,Urban,Background,7.4
2562,6/8/2562,Sofia,Bulgaria,Urban,Background,8.8
2562,7/8/2562,Sofia,Bulgaria,Urban,Background,10
2562,8/8/2562,Sofia,Bulgaria,Urban,Background,13.6
2562,9/8/2562,Sofia,Bulgaria,Urban,Background,17.4
2562,10/8/2562,Sofia,Bulgaria,Urban,Background,19.4
2562,11/8/2562,Sofia,Bulgaria,Urban,Background,14.2
2562,12/8/2562,Sofia,Bulgaria,Urban,Background,9.4
2562,13/8/2562,Sofia,Bulgaria,Urban,Background,8.5
2562,15/8/2562,Sofia,Bulgaria,Urban,Background,8.4
2562,16/8/2562,Sofia,Bulgaria,Urban,Background,4.5
2562,17/8/2562,Sofia,Bulgaria,Urban,Background,10.1
2562,18/8/2562,Sofia,Bulgaria,Urban,Background,22.4
2562,19/8/2562,Sofia,Bulgaria,Urban,Background,15.1
2562,20/8/2562,Sofia,Bulgaria,Urban,Background,11.3
2562,21/8/2562,Sofia,Bulgaria,Urban,Background,8.4
2562,22/8/2562,Sofia,Bulgaria,Urban,Background,11.7
2562,23/8/2562,Sofia,Bulgaria,Urban,Background,13.2
2562,24/8/2562,Sofia,Bulgaria,Urban,Background,12.7
2562,25/8/2562,Sofia,Bulgaria,Urban,Background,12.4
2562,26/8/2562,Sofia,Bulgaria,Urban,Background,11.4
2562,27/8/2562,Sofia,Bulgaria,Urban,Background,10.8
2562,28/8/2562,Sofia,Bulgaria,Urban,Background,11
